secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Radhakrishnan et al., 2019	17.0008	17_0008	2017/04/25	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	LCS 2141	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	LCS 2141	Infected Leaf	Unknown	Yellow Rust	Wichita, Kansas	USA	Unknown	Unknown	raw_reads/17_0008/R1.fq.gz	raw_reads/17_0008/R2.fq.gz	Marla Barnett
Radhakrishnan et al., 2019	17.0009	17_0009	2017/04/27	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	LCS Compass	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	LCS Compass	Infected Leaf	Unknown	Yellow Rust	Wichita, Kansas	USA	Unknown	Unknown	raw_reads/17_0009/R1.fq.gz	raw_reads/17_0009/R2.fq.gz	Marla Barnett
Radhakrishnan et al., 2019	17.0021	17_0021	2017/05/25	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	NC13142-33	Infected Leaf	10.5.4	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	NC13142-33	Infected Leaf	10.5.4	Yellow Rust	Lafayette, Indiana	USA	70	Unknown	raw_reads/17_0021/R1.fq.gz	raw_reads/17_0021/R2.fq.gz	Tracy Richards
Radhakrishnan et al., 2019	17.0022	17_0022	2017/05/25	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	NC13142-35	Infected Leaf	10.5.4	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	NC13142-35	Infected Leaf	10.5.4	Yellow Rust	Lafayette, Indiana	USA	70	Unknown	raw_reads/17_0022/R1.fq.gz	raw_reads/17_0022/R2.fq.gz	Tracy Richards
Radhakrishnan et al., 2019	17.0023	17_0023	2017/05/25	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	NC13142-36	Infected Leaf	10.5.4	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	NC13142-36	Infected Leaf	10.5.4	Yellow Rust	Lafayette, Indiana	USA	70	Unknown	raw_reads/17_0023/R1.fq.gz	raw_reads/17_0023/R2.fq.gz	Tracy Richards
Radhakrishnan et al., 2019	17.0028	17_0028	2017/05/30	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Linz	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Linz	Infected Leaf	Unknown	Yellow Rust	Sandby	Sweden	Unknown	Unknown	raw_reads/17_0028/R1.fq.gz	raw_reads/17_0028/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	17.0029	17_0029	2017/05/30	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Linz	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Linz	Infected Leaf	Unknown	Yellow Rust	Sandby	Sweden	Unknown	Unknown	raw_reads/17_0029/R1.fq.gz	raw_reads/17_0029/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	17.0030	17_0030	2017/06/02	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Kranich	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Kranich	Infected Leaf	Unknown	Yellow Rust	Svalöv	Sweden	Unknown	Unknown	raw_reads/17_0030/R1.fq.gz	raw_reads/17_0030/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	17.0031	17_0031	2017/06/02	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Norin	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Norin	Infected Leaf	Unknown	Yellow Rust	Svalöv	Sweden	Unknown	Unknown	raw_reads/17_0031/R1.fq.gz	raw_reads/17_0031/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	17.0057	17_0057	2017/06/13	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Otto	Infected Leaf	Flowering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Otto	Infected Leaf	Flowering	Yellow Rust	Walla Walla, Washington	USA	10	Unknown	raw_reads/17_0057/R1.fq.gz	raw_reads/17_0057/R2.fq.gz	Jay Kalous
Radhakrishnan et al., 2019	17.0058	17_0058	2017/06/13	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Artdeco	Infected Leaf	Flowering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Artdeco	Infected Leaf	Flowering	Yellow Rust	Walla Walla, Washington	USA	70	Unknown	raw_reads/17_0058/R1.fq.gz	raw_reads/17_0058/R2.fq.gz	Jay Kalous
Radhakrishnan et al., 2019	17.0089	17_0089	2017/06/15	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Kranich	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Kranich	Infected Leaf	Unknown	Yellow Rust	Svalöv	Sweden	50	None	raw_reads/17_0089/R1.fq.gz	raw_reads/17_0089/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	17.0090	17_0090	2017/06/15	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	555012	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	555012	Infected Leaf	Unknown	Yellow Rust	Svalöv	Sweden	70	None	raw_reads/17_0090/R1.fq.gz	raw_reads/17_0090/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	17.0504	17_0504	2017/10/11	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Kakaba	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Kakaba	Infected Leaf	Unknown	Yellow Rust	Ilu kobo	Ethiopia	Unknown	Unknown	raw_reads/17_0504/R1.fq.gz	raw_reads/17_0504/R2.fq.gz	David, gebre and yoseph
Radhakrishnan et al., 2019	17.0505	17_0505	2017/10/11	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Dandaa	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Dandaa	Infected Leaf	Unknown	Yellow Rust	Gurage Zone	Ethiopia	Unknown	Unknown	raw_reads/17_0505/R1.fq.gz	raw_reads/17_0505/R2.fq.gz	David, gebre and yoseph
Radhakrishnan et al., 2019	17.0507	17_0507	2017/10/12	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Limo Lereba Roma	Ethiopia	Unknown	Unknown	raw_reads/17_0507/R1.fq.gz	raw_reads/17_0507/R2.fq.gz	David, gebre and yoseph
