secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Hubbard et al., 2015	13/30	13_30	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR22	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR22	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_30/R1.fq.gz	raw_reads/13_30/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/32	13_32	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR04	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR04	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_32/R1.fq.gz	raw_reads/13_32/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/33	13_33	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Recital	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Recital	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_33/R1.fq.gz	raw_reads/13_33/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/34	13_34	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR32	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR32	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_34/R1.fq.gz	raw_reads/13_34/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/35	13_35	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR64	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR64	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_35/R1.fq.gz	raw_reads/13_35/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/36	13_36	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Allez Y	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Allez Y	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_36/R1.fq.gz	raw_reads/13_36/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/37	13_37	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR110	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR110	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_37/R1.fq.gz	raw_reads/13_37/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/38	13_38	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR138	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR138	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_38/R1.fq.gz	raw_reads/13_38/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/39	13_39	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Toisondor	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Toisondor	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_39/R1.fq.gz	raw_reads/13_39/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/40	13_40	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Fairplay	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Fairplay	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_40/R1.fq.gz	raw_reads/13_40/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/42	13_42	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Audace	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Audace	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_42/R1.fq.gz	raw_reads/13_42/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/520	13_520	2013/07/07	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Warrior	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Warrior	Infected Leaf	Unknown	Yellow Rust	Cambridge	UK	Unknown	Unknown	raw_reads/13_520/R1.fq.gz	raw_reads/13_520/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/65	13_65	2013/06/18	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Claire	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Claire	Infected Leaf	Unknown	Yellow Rust	Cambridge	UK	Unknown	Unknown	raw_reads/13_65/R1.fq.gz	raw_reads/13_65/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/71	13_71	2013/06/19	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Laurier	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Laurier	Infected Leaf	Unknown	Yellow Rust	Headley Hall	UK	Unknown	Unknown	raw_reads/13_71/R1.fq.gz	raw_reads/13_71/R2.fq.gz	UKCPVS
Hubbard et al., 2015	78/66	78_66	1978	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/78_66/R1.fq.gz	raw_reads/78_66/R2.fq.gz	Unknown
Hubbard et al., 2015	87/66	87_66	1987	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66/R1.fq.gz	raw_reads/87_66/R2.fq.gz	NIAB
Hubbard et al., 2015	88.44SS3	88_44SS3	1988	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/88_44SS3/R1.fq.gz	raw_reads/88_44SS3/R2.fq.gz	NIAB
Hubbard et al., 2015	88.45SS	88_45SS	1988	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/88_45SS/R1.fq.gz	raw_reads/88_45SS/R2.fq.gz	NIAB
Hubbard et al., 2015	88.55SS	88_55SS	1988	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/88_55SS/R1.fq.gz	raw_reads/88_55SS/R2.fq.gz	NIAB
Hubbard et al., 2015	CL1	CL1	2013/06/06	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown (Triticale)	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/CL1/R1.fq.gz	raw_reads/CL1/R2.fq.gz	Clare Lewis
Hubbard et al., 2015	RB2	RB2	2014	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Torch	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Torch	Infected Leaf	Unknown	Yellow Rust	Cambridgeshire	UK	Unknown	Unknown	raw_reads/RB1/R1.fq.gz	raw_reads/RB1/R2.fq.gz	Unknown
Hubbard et al., 2015	RB1	RB1	2014	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Oakley	Infected Leaf	Unknown	Yellow Rust	Cambridgeshire	UK	Unknown	Unknown	raw_reads/RB2/R1.fq.gz	raw_reads/RB2/R2.fq.gz	Unknown
Hubbard et al., 2015	T13/1	T13_1	2013/06/26	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Phidahlia	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Phidahlia (Triticale)	Infected Leaf	Unknown	Yellow Rust	Headley Hall	UK	Unknown	Unknown	raw_reads/T13_1/R1.fq.gz	raw_reads/T13_1/R2.fq.gz	UKCPVS
Hubbard et al., 2015	T13/2	T13_2	2013/07/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Amarillo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Amarillo (Triticale)	Infected Leaf	Unknown	Yellow Rust	Wareham	UK	Unknown	Unknown	raw_reads/T13_2/R1.fq.gz	raw_reads/T13_2/R2.fq.gz	UKCPVS
Hubbard et al., 2015	T13/3	T13_3	2013/07/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Bennette	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Bennette (Triticale)	Infected Leaf	Unknown	Yellow Rust	Wool	UK	Unknown	Unknown	raw_reads/T13_3/R1.fq.gz	raw_reads/T13_3/R2.fq.gz	UKCPVS
