secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Cook et al., 2021	01/01	01_01	2001/10	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Claire	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Claire	Infected Leaf	Unknown	Yellow Rust	Canterbury	New Zealand	Unknown	Unknown	raw_reads/01_01/R1.fq.gz	raw_reads/01_01/R2.fq.gz	Soonie Chng
Cook et al., 2021	09/01	09_01	2008/11	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Claire	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Claire	Infected Leaf	Unknown	Yellow Rust	Canterbury	New Zealand	Unknown	Unknown	raw_reads/09_01/R1.fq.gz	raw_reads/09_01/R2.fq.gz	Soonie Chng
Cook et al., 2021	14/01	14_01	2014/10	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Unknown	Infected Leaf	Unknown	Yellow Rust	Lincoln	New Zealand	Unknown	Unknown	raw_reads/14_01/R1.fq.gz	raw_reads/14_01/R2.fq.gz	Soonie Chng
Cook et al., 2021	11/02	11_02	2011/11	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Ryecorn	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Ryecorn	Infected Leaf	Unknown	Yellow Rust	Canterbury	New Zealand	Unknown	Unknown	raw_reads/11_02/R1.fq.gz	raw_reads/11_02/R2.fq.gz	Soonie Chng
Cook et al., 2021	12/06	12_06	2012/10	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Sage	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Sage	Infected Leaf	Unknown	Yellow Rust	Wakanni	New Zealand	Unknown	Unknown	raw_reads/12_06/R1.fq.gz	raw_reads/12_06/R2.fq.gz	Soonie Chng
Cook et al., 2021	12/07	12_07	2012/10	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Tiritea	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Tiritea	Infected Leaf	Unknown	Yellow Rust	Wakanni	New Zealand	Unknown	Unknown	raw_reads/12_07/R1.fq.gz	raw_reads/12_07/R2.fq.gz	Soonie Chng
Cook et al., 2021	12/09	12_09	2012/11	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Sy Epson	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Sy Epson	Infected Leaf	Unknown	Yellow Rust	Lincoln	New Zealand	Unknown	Unknown	raw_reads/12_09/R1.fq.gz	raw_reads/12_09/R2.fq.gz	Soonie Chng
Cook et al., 2021	12/11	12_11	2012/10	Puccinia Striiformis f. sp. Tritici	Cook et al., 2021	Cook et al., 2021	Triticum aestivum	Morph	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1002/ps.6380	Morph	Infected Leaf	Unknown	Yellow Rust	Darfield	New Zealand	Unknown	Unknown	raw_reads/12_11/R1.fq.gz	raw_reads/12_11/R2.fq.gz	Soonie Chng
