File,Sample,actin,tuba,tubb,efact,pst130_p495001
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0078,8084.5,4051.0,2423.25,370.0,593.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0188,7030.5,2014.5,1745.75125,394.0,611.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0189,8185.5,2883.5,1984.25,486.5,480.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0190,9175.5,2892.5,2312.7309999999998,471.5,1059.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0191,6808.0,1898.5,1472.74975,423.5,498.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0305,2180.0,1165.5,470.24875,98.1598,73.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0306,1807.0,826.5,435.75,84.5,92.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0308,2378.5,698.0,536.00125,89.5,582.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0348,6211.0,1968.5,1436.5,365.0,269.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0349,1425.0,401.0,366.75,93.0,148.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0350,6172.0,1881.0,1411.9585000000002,461.5,393.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0351,1009.5,258.5,138.25,44.5,20.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0353,7591.5,2690.0,1768.75,405.5,328.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0354,1582.0,377.5,288.25,146.5,145.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0355,380.5,75.5,46.5,15.0,21.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0356,7031.5,1916.5,1508.25,440.0,50.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0357,4669.5,1809.0,1206.1999999999998,212.5,466.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0359,1084.5,294.0,163.5,33.5,25.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0360,5624.0,2039.5,977.5,263.5,218.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0361,4042.0,726.0,363.75,152.5,80.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0363,7707.0,2939.0,2412.527,410.5,422.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0365,1459.0,153.0,229.08249999999998,142.5,82.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0366,5304.5,1444.0,1151.632,274.0,238.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0367,4869.5,1555.5,1099.25,203.0,241.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0409,1459.5,469.0,302.5,54.0,100.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0573,4748.5,1282.5,1273.2505,258.0,145.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0574,4517.5,1329.5,1176.25025,274.0,161.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0579,3410.5,872.5,965.16625,276.028,115.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0596,8957.0,2958.5,2207.25,445.0,487.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0597,6047.5,1914.5,1865.0,378.0,390.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0604,7440.5,1910.5,1741.0,423.0,521.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0606,10129.0,3272.0,2653.308,551.0,556.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0608,6143.5,2075.0,1578.75,329.0,400.331
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0609,12209.5,4197.0,3222.75,643.0,819.374
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0142,7223.5,3199.0,1763.5,385.0,454.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0144,6850.5,1866.5,1640.8290000000002,244.0,288.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0145,16297.0,8152.0,3936.701,1400.0,1312.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0182,3948.0,1646.0,742.0,174.0,428.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0183,3246.0,1150.0,520.75,156.0,721.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0186,12690.5,4630.0,2228.75,437.5,937.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0527,9956.0,3532.5,2036.25,359.5,523.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0529,2153.5,1131.5,489.49924999999996,137.5,95.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0535,16642.0,6322.0,3405.5,583.0,1167.1
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0536,10403.5,3943.5,2623.75,664.0,888.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0548,12302.0,5098.0,2989.75,631.5,621.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0771,2854.5,1850.0,1011.2505000000001,77.5,379.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0774,7371.5,2374.0,1542.5002499999998,361.5,260.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0775,7195.5,2797.0,1669.99925,398.5,413.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0776,5906.0,1611.0,1235.99975,329.0,104.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0779,6383.5,2665.5,1256.24975,261.0,307.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0783,7484.5,3701.5,3118.0,350.0,480.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0786,7791.5,3170.5,3083.25,349.0,397.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0789,10781.0,3541.5,4276.827499999999,551.5,271.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0794,9791.0,3968.5,3554.5135000000005,468.0,279.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0796,10275.5,3801.0,3778.9164999999994,427.0,416.769
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0804,12307.5,5991.0,3618.51,376.5,702.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0883,6414.5,2746.5,1813.5,363.5,640.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0189,7425.5,2610.5,2276.589,392.0,776.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0190,7487.5,3497.0,2245.0,362.0,593.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0191,8678.5,3393.0,2719.75,375.5,668.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0192,6161.5,1976.0,2178.25,425.0,521.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0193,7460.5,1958.5,2637.25,486.5,896.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0194,9397.5,2778.5,2380.75,501.5,390.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0197,8421.0,2296.5,1849.00075,380.0,678.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0203,6591.5,2888.0,1808.5777500000004,336.0,484.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0204,4792.5,1614.5,1303.249,252.789,351.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0207,7690.0,3064.0,2111.25,344.0,799.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0208,5144.5,2514.0,1495.251,269.0,992.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0286,3395.0,935.5,626.25,127.0,50.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0489,7555.5,3009.0,2088.25,353.5,657.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0490,7843.5,3462.0,2297.5535,442.0,784.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0491,5269.0,2092.0,1293.32375,322.5,541.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0492,8117.0,3756.0,2231.25,425.5,651.675
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0493,13150.0,5931.5,3743.2425000000003,641.5,282.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0494,8655.0,3689.5,2577.5,540.0,773.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0495,12254.0,5544.0,3352.255,909.0,686.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0496,8605.5,4412.5,2321.5,551.5,695.004
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0497,7689.5,3439.0,1794.001,408.5,484.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0498,6950.0,2522.0,2068.25,417.5,703.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0499,9443.0,4278.0,2713.75,741.5,682.215
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0500,5967.5,2569.5,1719.00025,415.5,513.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0501,4145.0,1851.5,925.2495,203.5,297.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0503,6422.0,2735.5,1893.74975,453.0,560.0
