secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Adams et al., in press	15.0153	15_0153	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Lebrija	Spain	40	Unknown	raw_reads/15_0153/R1.fq.gz	raw_reads/15_0153/R2.fq.gz	Jose A. Torres
Adams et al., in press	15.0154	15_0154	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Lebrija	Spain	> 70	Unknown	raw_reads/15_0154/R1.fq.gz	raw_reads/15_0154/R2.fq.gz	Jose A. Torres
Adams et al., in press	15.0171	15_0171	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Kelvin	Infected Leaf	Unknown	Yellow Rust	Unpublished	Kelvin	Infected Leaf	Unknown	Yellow Rust	Oostburg	The Netherlands	Unknown	Unknown	raw_reads/15_0171/R1.fq.gz	raw_reads/15_0171/R2.fq.gz	Guus Bergmans
Adams et al., in press	15.0203	15_0203	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	GK Elet	Infected Leaf	Unknown	Yellow Rust	Unpublished	GK Elet	Infected Leaf	Unknown	Yellow Rust	Győr	Hungary	80	Unknown	raw_reads/15_0203/R1.fq.gz	raw_reads/15_0203/R2.fq.gz	Adamszul Tamas
Adams et al., in press	15.0204	15_0204	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Mv Tallér	Infected Leaf	Unknown	Yellow Rust	Unpublished	Mv Tallér	Infected Leaf	Unknown	Yellow Rust	Szekszárd	Hungary	70	Unknown	raw_reads/15_0204/R1.fq.gz	raw_reads/15_0204/R2.fq.gz	Adamszul Tamas
Adams et al., in press	15.0205	15_0205	2015/05/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Luglon	France	10	Unknown	raw_reads/15_0205/R1.fq.gz	raw_reads/15_0205/R2.fq.gz	Patrick Pigeon
Adams et al., in press	15.0206	15_0206	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Lyuben	Bulgaria	90	Unknown	raw_reads/15_0206/R1.fq.gz	raw_reads/15_0206/R2.fq.gz	Todor Manslov
Adams et al., in press	15.0207	15_0207	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Sadovo 772	Infected Leaf	Unknown	Yellow Rust	Unpublished	Sadovo 772	Infected Leaf	Unknown	Yellow Rust	Lyuben	Bulgaria	90	Unknown	raw_reads/15_0207/R1.fq.gz	raw_reads/15_0207/R2.fq.gz	Todor Manslov
Adams et al., in press	15.0219	15_0219	2015/05/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Touffreville-sur-Eu	France	27	Unknown	raw_reads/15_0219/R1.fq.gz	raw_reads/15_0219/R2.fq.gz	Thomas Martel
Adams et al., in press	15.0220	15_0220	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Quellendorf	Germany	15	Unknown	raw_reads/15_0220/R1.fq.gz	raw_reads/15_0220/R2.fq.gz	Andreas Heckmann
Adams et al., in press	15.0221	15_0221	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Quellendorf	Germany	30	Unknown	raw_reads/15_0221/R1.fq.gz	raw_reads/15_0221/R2.fq.gz	Andreas Heckmann
Adams et al., in press	15.0222	15_0222	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Matea	Infected Leaf	Unknown	Yellow Rust	Unpublished	Matea	Infected Leaf	Unknown	Yellow Rust	Gotalovo	Croatia	90	Unknown	raw_reads/15_0222/R1.fq.gz	raw_reads/15_0222/R2.fq.gz	Nikola Ettinger
